"subj","pred","obj"
"http://example.com/ontology#G15_P001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#StageSequence"
"http://example.com/ontology#G15_P001","http://example.com/ontology#sequence","Roast the eggplants, peel and mash them, mix with olive oil, lemon juice, and salt."
"http://example.com/ontology#G10_R029","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Recipe"
"http://example.com/ontology#G10_R029","http://example.com/ontology#occasion","summer brunches"
"http://example.com/ontology#G10_R029","http://example.com/ontology#cuisine","Greek"
"http://example.com/ontology#G10_R029","http://example.com/ontology#serves","4 people"
"http://example.com/ontology#G10_R029","http://example.com/ontology#diet","vegetarian"
"http://example.com/ontology#G10_R029","http://example.com/ontology#name","Spanakopita"
"http://example.com/ontology#G10_R029","http://example.com/ontology#stages","http://example.com/ontology#G10_P001"
"http://example.com/ontology#G23_P002","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#StageSequence"
"http://example.com/ontology#G23_P002","http://example.com/ontology#sequence","Roast the butternut squash, blend with broth and spices, then simmer until smooth."
"http://example.com/ontology#G16_R099","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Recipe"
"http://example.com/ontology#G16_R099","http://example.com/ontology#occasion","summer desserts"
"http://example.com/ontology#G16_R099","http://example.com/ontology#cuisine","Greek cuisine"
"http://example.com/ontology#G16_R099","http://example.com/ontology#serves","6 people"
"http://example.com/ontology#G16_R099","http://example.com/ontology#diet","vegetarian"
"http://example.com/ontology#G16_R099","http://example.com/ontology#name","Loukoumades"
"http://example.com/ontology#G28_R1601","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Recipe"
"http://example.com/ontology#G28_R1601","http://example.com/ontology#occasion","spring appetizers"
"http://example.com/ontology#G28_R1601","http://example.com/ontology#cuisine","American"
"http://example.com/ontology#G28_R1601","http://example.com/ontology#serves","4 people"
"http://example.com/ontology#G28_R1601","http://example.com/ontology#diet","vegetarian"
"http://example.com/ontology#G28_R1601","http://example.com/ontology#name","Spring Salad"
"http://example.com/ontology#G25_R802","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Recipe"
"http://example.com/ontology#G25_R802","http://example.com/ontology#occasion","spring dinners"
"http://example.com/ontology#G25_R802","http://example.com/ontology#cuisine","Italian"
"http://example.com/ontology#G25_R802","http://example.com/ontology#serves","4 people"
"http://example.com/ontology#G25_R802","http://example.com/ontology#diet","gluten-free"
"http://example.com/ontology#G25_R802","http://example.com/ontology#name","Chicken Piccata"
"http://example.com/ontology#G33_M032","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Menu"
"http://example.com/ontology#G33_M032","http://example.com/ontology#description","This menu features a delightful selection of seasonal dishes perfect for a spring garden party."
"http://example.com/ontology#G33_M032","http://example.com/ontology#starter","http://example.com/ontology#G33_R3201"
"http://example.com/ontology#G33_M032","http://example.com/ontology#dessert","http://example.com/ontology#G33_R3204"
"http://example.com/ontology#G33_M032","http://example.com/ontology#side_dish","http://example.com/ontology#G33_R3203"
"http://example.com/ontology#G33_M032","http://example.com/ontology#main_course","http://example.com/ontology#G33_R3202"
"http://example.com/ontology#G33_M032","http://example.com/ontology#name","Spring Delights"
"http://example.com/ontology#G33_P001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#StageSequence"
"http://example.com/ontology#G33_P001","http://example.com/ontology#sequence","Peel and cube the butternut squash, boil it until tender, blend with vegetable broth, and season with salt and pepper."
"http://example.com/ontology#G30_M022","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Menu"
"http://example.com/ontology#G30_M022","http://example.com/ontology#description","This menu features a delightful selection of seasonal dishes perfect for an autumn gathering."
"http://example.com/ontology#G30_M022","http://example.com/ontology#starter","http://example.com/ontology#G30_R2201"
"http://example.com/ontology#G30_M022","http://example.com/ontology#dessert","http://example.com/ontology#G30_R2204"
"http://example.com/ontology#G30_M022","http://example.com/ontology#side_dish","http://example.com/ontology#G30_R2203"
"http://example.com/ontology#G30_M022","http://example.com/ontology#main_course","http://example.com/ontology#G30_R2202"
"http://example.com/ontology#G30_M022","http://example.com/ontology#name","Cozy Autumn"
"http://example.com/ontology#G35_R3503","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Recipe"
"http://example.com/ontology#G35_R3503","http://example.com/ontology#occasion","spring side dishes"
"http://example.com/ontology#G35_R3503","http://example.com/ontology#cuisine","Mediterranean cuisine"
"http://example.com/ontology#G35_R3503","http://example.com/ontology#serves","4 people"
"http://example.com/ontology#G35_R3503","http://example.com/ontology#diet","vegetarian"
"http://example.com/ontology#G35_R3503","http://example.com/ontology#name","Roasted Asparagus"
"http://example.com/ontology#G22_R108","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Recipe"
"http://example.com/ontology#G22_R108","http://example.com/ontology#occasion","summer meals"
"http://example.com/ontology#G22_R108","http://example.com/ontology#cuisine","Greek cuisine"
"http://example.com/ontology#G22_R108","http://example.com/ontology#serves","4 people"
"http://example.com/ontology#G22_R108","http://example.com/ontology#diet","vegetarian"
