"subj","pred","obj"
"http://example.com/ontology#A0G3_D003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#dish"
"http://example.com/ontology#A0G3_D003","http://example.com/ontology#occasion","summer"
"http://example.com/ontology#A0G3_D003","http://example.com/ontology#cuisine","Greek"
"http://example.com/ontology#A0G3_D003","http://example.com/ontology#serves","4 people"
"http://example.com/ontology#A0G3_D003","http://example.com/ontology#name","Greek Salad"
"http://example.com/ontology#A2G3_D018","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Recipe"
"http://example.com/ontology#A2G3_D018","http://example.com/ontology#occasion","winter"
"http://example.com/ontology#A2G3_D018","http://example.com/ontology#cuisine","British"
"http://example.com/ontology#A2G3_D018","http://example.com/ontology#serves","6 people"
"http://example.com/ontology#A2G3_D018","http://example.com/ontology#name","Shepherds Pie"
"http://example.com/ontology#A0G2_P004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#StageSequence"
"http://example.com/ontology#A0G2_P004","http://example.com/ontology#sequence","Season the salmon with salt and pepper, then grill until cooked through."
"http://example.com/ontology#A1G2_I005","http://example.com/ontology#at_its_best","winter"
"http://example.com/ontology#A1G2_I005","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Food"
"http://example.com/ontology#A1G2_I005","http://example.com/ontology#produces","http://example.com/ontology#A1G2_D005"
"http://example.com/ontology#A1G2_I005","http://example.com/ontology#quantity","8 ounces"
"http://example.com/ontology#A1G2_I005","http://example.com/ontology#name","Spaghetti"
"http://example.com/ontology#A0G3_V005","http://example.com/ontology#at_its_best","summer"
"http://example.com/ontology#A0G3_V005","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Food"
"http://example.com/ontology#A0G3_V005","http://example.com/ontology#produces","http://example.com/ontology#A0G3_D001"
"http://example.com/ontology#A0G3_V005","http://example.com/ontology#quantity","1 teaspoon"
"http://example.com/ontology#A0G3_V005","http://example.com/ontology#name","salt"
"http://example.com/ontology#A0G1_P001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#StageSequence"
"http://example.com/ontology#A0G1_P001","http://example.com/ontology#sequence","chopping the tomatoes and garlic, then mixing them with basil"
"http://example.com/ontology#A0G4_M001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Menu"
"http://example.com/ontology#A0G4_M001","http://example.com/ontology#description","A fresh and vibrant menu featuring seasonal vegetables and light dishes perfect for warm summer days."
"http://example.com/ontology#A0G4_M001","http://example.com/ontology#starter","http://example.com/ontology#A0G4_D001"
"http://example.com/ontology#A0G4_M001","http://example.com/ontology#main_course","http://example.com/ontology#A0G4_D004"
"http://example.com/ontology#A0G4_M001","http://example.com/ontology#name","Summer Garden Delights"
"http://example.com/ontology#A2G1_I003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Food"
"http://example.com/ontology#A2G1_I003","http://example.com/ontology#produces","http://example.com/ontology#A2G1_D003"
"http://example.com/ontology#A2G1_I003","http://example.com/ontology#quantity","150 grams"
