"subj","pred","obj"
"http://example.com/ontology#A2G2_RD009","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Recipe"
"http://example.com/ontology#A2G2_RD009","http://example.com/ontology#occasion","Dessert"
"http://example.com/ontology#A2G2_RD009","http://example.com/ontology#cuisine","Mexican"
"http://example.com/ontology#A2G2_RD009","http://example.com/ontology#serves","6"
"http://example.com/ontology#A2G2_RD009","http://example.com/ontology#diet","Vegetarian"
"http://example.com/ontology#A2G2_RD009","http://example.com/ontology#name","Sopapillas"
"http://example.com/ontology#A0G1_S004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Recipe"
"http://example.com/ontology#A0G1_S004","http://example.com/ontology#serves","4"
"http://example.com/ontology#A0G1_S004","http://example.com/ontology#diet","vegetarian"
"http://example.com/ontology#A0G1_S004","http://example.com/ontology#name","Edamame Hummus"
"http://example.com/ontology#A2G2_PR009","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#StageSequence"
"http://example.com/ontology#A2G2_PR009","http://example.com/ontology#sequence","Grill corn on the cob until charred. Brush with mayo and sprinkle with chili powder."
"http://example.com/ontology#A2G3_F003","http://example.com/ontology#at_its_best","summer"
"http://example.com/ontology#A2G3_F003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Food"
"http://example.com/ontology#A2G3_F003","http://example.com/ontology#quantity","2"
"http://example.com/ontology#A2G3_F003","http://example.com/ontology#name","Ripe Avocados"
"http://example.com/ontology#A1G1_SD005","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Recipe"
"http://example.com/ontology#A1G1_SD005","http://example.com/ontology#occasion","Southern-style dinners"
"http://example.com/ontology#A1G1_SD005","http://example.com/ontology#serves","8 people"
"http://example.com/ontology#A1G1_SD005","http://example.com/ontology#diet","gluten-free"
"http://example.com/ontology#A1G1_SD005","http://example.com/ontology#name","Cornbread"
"http://example.com/ontology#A2G1_SD009","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Recipe"
"http://example.com/ontology#A2G1_SD009","http://example.com/ontology#occasion","family dinners"
"http://example.com/ontology#A2G1_SD009","http://example.com/ontology#serves","8 people"
"http://example.com/ontology#A2G1_SD009","http://example.com/ontology#name","Mac and Cheese"
"http://example.com/ontology#A2G1_SD009","http://example.com/ontology#stages","http://example.com/ontology#A2G1_Procedure004"
"http://example.com/ontology#A1G2_PR008","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#StageSequence"
"http://example.com/ontology#A1G2_PR008","http://example.com/ontology#sequence","Spread rice and vegetables on nori sheets. Roll tightly and slice."
"http://example.com/ontology#A0G1_D004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Recipe"
"http://example.com/ontology#A0G1_D004","http://example.com/ontology#occasion","quick dinners"
"http://example.com/ontology#A0G1_D004","http://example.com/ontology#serves","6 people"
