"subj","pred","obj"
"http://example.com/ontology#G8_MD001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Recipe"
"http://example.com/ontology#G8_MD001","http://example.com/ontology#occasion","family dinners"
"http://example.com/ontology#G8_MD001","http://example.com/ontology#cuisine","American"
"http://example.com/ontology#G8_MD001","http://example.com/ontology#serves","6 people"
"http://example.com/ontology#G8_MD001","http://example.com/ontology#diet","gluten-free"
"http://example.com/ontology#G8_MD001","http://example.com/ontology#name","Herb-Roasted Chicken"
"http://example.com/ontology#G8_MD001","http://example.com/ontology#stages","http://example.com/ontology#G8_P002"
"http://example.com/ontology#G1_F005","http://example.com/ontology#at_its_best","Summer"
"http://example.com/ontology#G1_F005","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Food"
"http://example.com/ontology#G1_F005","http://example.com/ontology#quantity","2 lbs"
"http://example.com/ontology#G1_F005","http://example.com/ontology#name","Baby Potatoes"
"http://example.com/ontology#G2_RM002","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Recipe"
"http://example.com/ontology#G2_RM002","http://example.com/ontology#occasion","Fall"
"http://example.com/ontology#G2_RM002","http://example.com/ontology#cuisine","American"
"http://example.com/ontology#G2_RM002","http://example.com/ontology#serves","4"
"http://example.com/ontology#G2_RM002","http://example.com/ontology#diet","Vegan"
"http://example.com/ontology#G2_RM002","http://example.com/ontology#name","Stuffed Acorn Squash"
"http://example.com/ontology#G2_RM002","http://example.com/ontology#stages","http://example.com/ontology#G2_PR006"
"http://example.com/ontology#G4_MD001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Recipe"
"http://example.com/ontology#G4_MD001","http://example.com/ontology#occasion","Family Dinner"
"http://example.com/ontology#G4_MD001","http://example.com/ontology#cuisine","Mediterranean"
"http://example.com/ontology#G4_MD001","http://example.com/ontology#serves","6"
"http://example.com/ontology#G4_MD001","http://example.com/ontology#diet","Gluten-Free"
"http://example.com/ontology#G4_MD001","http://example.com/ontology#name","Roast Chicken with Root Vegetables"
"http://example.com/ontology#G4_MD001","http://example.com/ontology#stages","http://example.com/ontology#G4_P002"
"http://example.com/ontology#G1_P004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#StageSequence"
"http://example.com/ontology#G1_P004","http://example.com/ontology#sequence","Layer phyllo dough with chopped nuts and honey. Bake at 350°F for 25 minutes."
"http://example.com/ontology#G2_FI001","http://example.com/ontology#at_its_best","Autumn"
"http://example.com/ontology#G2_FI001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Food"
"http://example.com/ontology#G2_FI001","http://example.com/ontology#quantity","2 cups"
"http://example.com/ontology#G2_FI001","http://example.com/ontology#name","Pumpkin"
"http://example.com/ontology#G6_D004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#StageSequence"
"http://example.com/ontology#G6_D004","http://example.com/ontology#sequence","Melt the chocolate and butter, pour into molds, then bake until the centers are molten."
"http://example.com/ontology#G5_F001","http://example.com/ontology#at_its_best","autumn"
"http://example.com/ontology#G5_F001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Food"
"http://example.com/ontology#G5_F001","http://example.com/ontology#quantity","1 medium"
"http://example.com/ontology#G5_F001","http://example.com/ontology#name","butternut squash"
"http://example.com/ontology#G5_F012","http://example.com/ontology#at_its_best","autumn"
"http://example.com/ontology#G5_F012","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Food"
"http://example.com/ontology#G5_F012","http://example.com/ontology#quantity","2 cups"
"http://example.com/ontology#G5_F012","http://example.com/ontology#name","red wine"
"http://example.com/ontology#G2_FI012","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Food"
"http://example.com/ontology#G2_FI012","http://example.com/ontology#quantity","1 cup"
"http://example.com/ontology#G2_FI012","http://example.com/ontology#name","Quinoa"
"http://example.com/ontology#G3_I009","http://example.com/ontology#at_its_best","autumn"
"http://example.com/ontology#G3_I009","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Food"
"http://example.com/ontology#G3_I009","http://example.com/ontology#quantity","12 large"
"http://example.com/ontology#G3_I009","http://example.com/ontology#name","Mushrooms"
"http://example.com/ontology#G7_I015","http://example.com/ontology#at_its_best","summer"
"http://example.com/ontology#G7_I015","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#Food"
"http://example.com/ontology#G7_I015","http://example.com/ontology#quantity","2 cloves"
"http://example.com/ontology#G7_I015","http://example.com/ontology#name","Garlic"
"http://example.com/ontology#G4_P006","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.com/ontology#StageSequence"
"http://example.com/ontology#G4_P006","http://example.com/ontology#sequence","Sure! Heres the procedure (procedure_id: P006): Peel and slice the pears. Arrange them on a pre-baked tart shell. Mix ginger, sugar, and a bit of cornstarch, then spread over the pears. Bake at 180°C for about 30 minutes until the pears are tender."
"http://example.com/ontology#G7_SD002","http://example.com/ontology#at_its_best","fall"
